013606 030350|       013606  RTS PC
005566 030350|157770 157764  MOV R5,SP
005570 030350|157770 157770  MOV (SP)+,R5
005572 030350|               RTT
002250 140010|002250 155736  ADD #4,SP
002254 140010|155742 155752  MOV (SP)+,R5
002256 140010|155752 000000  MOV 177772(R5),R4
002262 140004|155752 000000  MOV 177774(R5),R3
002266 140004|155752 020675  MOV 177776(R5),R2
002272 140000|155752 155744  MOV R5,SP
002274 140010|155752 155752  MOV (SP)+,R5
002276 140010|       002276  RTS PC
002100 140010|002100 155756  ADD #2,SP
002104 140010|020675 011557  MOVB (R2)+,R1
002106 140000|               BEQ 2114
002110 140000|       000000  TST R0
002112 140004|               BEQ 2072
002072 140004|000055 155760  MOVB R1,-(SP)
002074 140000|002074 002074  JSR PC,2212
002212 140000|155764 155754  MOV R5,-(SP)
002214 140010|155752 155764  MOV SP,R5
002216 140010|020676 155752  MOV R2,-(SP)
002220 140000|000000 155750  MOV R3,-(SP)
002222 140004|000000 155746  MOV R4,-(SP)
002224 140004|155752 155744  MOV R5,-(SP)
002226 140010|002226 155742  SUB #4,SP
002232 140010|002232 155736  MOV #1,(SP)
002236 140000|155752 155736  MOVB 4(R5),2(SP)
002244 140000|155736 000000  MOV SP,R0
002246 140010|       155752  TRAP 35
005362 030340|155736 157772  MOV R0,-(SP)
005364 030350|005364 155736  MOV 1030,R0
005370 030340|020676 025304  MOV R2,46(R0)
005374 030340|000000 025304  MOV R3,50(R0)
005400 030344|000000 025304  MOV R4,52(R0)
005404 030344|155752 025304  MOV R5,54(R0)
005410 030350|157770 025304  MOV SP,56(R0)
005414 030350|005414 025304  ADD #2,56(R0)
005422 030350|157770 025304  MOV 2(SP),60(R0)
005430 030340|157770 025304  MOV 4(SP),62(R0)
005436 030350|005436 157770  MOV 177776,-(SP)
005442 030340|005442 005442  BIS #30000,177776
005450 030340|       157766  MFPD SP
005452 030350|157764 025304  MOV (SP)+,22(R0)
005456 030350|025304 025304  MOV 56(R0),70(R0)
005464 030350|157766 005464  MOV (SP)+,177776
005470 030350|005470 025304  BIT #140000,62(R0)
005476 030350|               BNE 5522
005522 030350|157770 025304  MOV (SP)+,R0
005524 030350|155752 157772  MOV R5,-(SP)
005526 030350|157770 155752  MOV SP,R5
005530 030350|       155736  TST R0
005532 030350|               BEQ 5544
005534 030350|155736 000055  MOV (R0)+,R1
005536 030340|               BEQ 5544
005540 030340|155740 157770  MOV (R0)+,-(SP)
005542 030340|000001 020676  SOB R1,5540
005544 030340|157770 000000  MOV 2(R5),R1
005550 030340|002250 002250  MOV 177776(R1),R1
